"Section","Values"
"[0. Info]","Date: 2024/12/28 - 20:20:46"
"[0. Info]","URL: https://facebook.com"
"[0. Info]","File: humble_https_facebook_com_20241228_202046_en.csv"
"[0. Info]","Note: The URL returns an error (HTTP code 400, 'Bad Request')"
"[0. Info]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
"[1. Enabled HTTP Security Headers]","Cache-Control: private, no-cache, no-store, must-revalidate"
"[1. Enabled HTTP Security Headers]","Content-Security-Policy: default-src data: blob: 'self' https://*.fbsbx.com *.facebook.com *.fbcdn.net;script-src *.facebook.com *.fbcdn.net 'unsafe-inline' blob: data: 'self' 'wasm-unsafe-eval';style-src *.fbcdn.net data: *.facebook.com 'unsafe-inline';connect-src *.facebook.com facebook.com *.fbcdn.net wss://*.facebook.com:* wss://*.fbcdn.net attachment.fbsbx.com blob: *.cdninstagram.com 'self' http://localhost:3103 wss://gateway.facebook.com wss://edge-chat.facebook.com wss://snaptu-d.facebook.com wss://kaios-d.facebook.com/ *.fbsbx.com;font-src data: *.facebook.com *.fbcdn.net *.fbsbx.com;img-src *.fbcdn.net *.facebook.com data: https://*.fbsbx.com facebook.com *.cdninstagram.com fbsbx.com fbcdn.net blob: android-webview-video-poster: *.oculuscdn.com https://paywithmybank.com/ https://*.paywithmybank.com/;media-src *.cdninstagram.com blob: *.fbcdn.net *.fbsbx.com www.facebook.com *.facebook.com data:;frame-src *.facebook.com *.fbsbx.com fbsbx.com data: *.fbcdn.net https://paywithmybank.com/ https://*.paywithmybank.com/;worker-src blob: *.facebook.com data:;block-all-mixed-content;upgrade-insecure-requests;report-uri https://www.facebook.com/csp/reporting/?m=c&minimize=0;"
"[1. Enabled HTTP Security Headers]","Content-Type: text/html; charset=""utf-8"""
"[1. Enabled HTTP Security Headers]","Cross-Origin-Opener-Policy: same-origin-allow-popups;report-to=""coop_report"""
"[1. Enabled HTTP Security Headers]","(*) Origin-Agent-Cluster: ?1"
"[1. Enabled HTTP Security Headers]","Pragma: no-cache"
"[1. Enabled HTTP Security Headers]","Report-To: {""max_age"":2592000,""endpoints"":"
"[2. Missing HTTP Security Headers]","Clear-Site-Data"
"[2. Missing HTTP Security Headers]","Clears browsing data (cookies, storage, cache) associated with the requesting website."
"[2. Missing HTTP Security Headers]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Clear-Site-Data"
"[2. Missing HTTP Security Headers]","Cross-Origin-Embedder-Policy"
"[2. Missing HTTP Security Headers]","Prevents documents and workers from loading non-same-origin requests unless allowed."
"[2. Missing HTTP Security Headers]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Cross-Origin-Embedder-Policy"
"[2. Missing HTTP Security Headers]","Cross-Origin-Resource-Policy"
"[2. Missing HTTP Security Headers]","Protect servers against certain cross-origin or cross-site embedding of the returned source."
"[2. Missing HTTP Security Headers]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Cross-Origin_Resource_Policy_(CORP)"
"[2. Missing HTTP Security Headers]","(*) NEL"
"[2. Missing HTTP Security Headers]","Enables web applications to declare a reporting policy to report errors."
"[2. Missing HTTP Security Headers]","Ref: https://scotthelme.co.uk/network-error-logging-deep-dive/"
"[2. Missing HTTP Security Headers]","(*) Permissions-Policy"
"[2. Missing HTTP Security Headers]","Previously called ""Feature-Policy"", allow and deny the use of browser features."
